,PLAYER,TEAM,GP,Poss,Freq%,PPP,PTS,FGM,FGA,FG%,eFG%,FT Freq%,TOV Freq%,SF Freq%,And One Freq%,Score Freq%,Percentile
0,Domantas Sabonis,SAC,78,3.7,21.6,1.32,4.9,1.9,2.8,69.8,69.8,20.5,9.2,19.9,3.4,67.8,53.5
1,Evan Mobley,CLE,78,3.2,20.6,1.48,4.8,2.1,2.8,73.6,73.6,15.1,2.4,15.1,5.2,73.8,83.9
2,Jarrett Allen,CLE,67,4.0,32.7,1.38,5.5,2.4,3.3,71.2,71.2,15.4,4.5,15.0,3.7,69.7,66.6
3,Rudy Gobert,MIN,68,3.4,28.5,1.39,4.7,1.9,2.7,71.3,71.3,21.7,6.5,21.3,7.0,69.1,67.7
4,Nic Claxton,BKN,75,3.2,31.2,1.31,4.2,1.9,2.7,69.4,69.4,13.6,5.4,13.6,4.1,66.9,52.4
5,Bam Adebayo,MIA,74,3.1,15.7,1.21,3.8,1.6,2.7,61.3,61.3,11.6,4.7,11.6,2.2,60.3,31.2
6,Aaron Gordon,DEN,67,2.7,18.0,1.5,4.0,1.8,2.3,80.1,80.1,14.0,3.9,12.9,2.8,77.5,89.0
7,Kevon Looney,GSW,80,2.6,42.6,1.26,3.3,1.4,2.1,64.5,64.5,18.8,3.9,18.4,4.3,66.2,43.5
8,Deandre Ayton,PHX,67,3.0,18.3,1.27,3.8,1.7,2.6,64.2,64.2,10.9,6.0,10.4,3.0,62.7,44.8
9,Ivica Zubac,LAC,74,2.6,27.1,1.25,3.3,1.4,2.1,65.8,65.8,17.9,6.1,17.9,3.1,65.3,42.5
10,Kenyon Martin Jr.,HOU,80,1.9,17.3,1.44,2.8,1.2,1.6,73.6,73.6,17.6,5.2,17.6,7.2,71.9,78.8
11,Onyeka Okongwu,ATL,78,1.9,22.9,1.42,2.7,1.1,1.6,71.1,71.1,16.9,4.7,16.9,3.4,71.6,74.2
12,Walker Kessler,UTA,74,2.1,28.9,1.33,2.8,1.3,1.7,75.2,75.2,12.7,7.6,11.5,2.5,69.4,55.8
13,Nikola Jokic,DEN,68,2.2,10.3,1.42,3.1,1.3,1.9,69.5,69.5,16.3,4.1,15.0,7.5,68.7,73.4
14,Clint Capela,ATL,64,2.3,22.6,1.39,3.2,1.5,2.0,72.9,72.9,9.0,3.4,9.0,1.4,71.0,69.7
15,Brook Lopez,MIL,78,1.8,13.2,1.41,2.6,1.1,1.6,71.1,71.1,17.5,4.9,17.5,7.0,69.9,72.2
16,Jonas Valanciunas,NOP,77,2.0,14.7,1.29,2.6,1.1,1.6,65.6,65.6,13.6,7.1,13.0,1.9,64.9,48.0
17,Drew Eubanks,POR,78,1.9,32.1,1.26,2.4,1.1,1.7,65.9,65.9,8.8,5.4,8.8,2.0,63.3,44.0
18,Anthony Davis,LAL,54,2.3,10.0,1.48,3.4,1.4,2.0,73.6,73.6,16.8,3.2,16.0,4.8,74.4,85.3
19,Daniel Gafford,WAS,77,1.6,23.1,1.47,2.4,1.0,1.3,77.3,77.3,25.6,4.8,25.6,8.0,76.0,83.6
20,Jalen Duren,DET,65,2.1,25.6,1.32,2.8,1.2,1.7,69.6,69.6,15.9,5.8,15.9,2.9,68.1,53.8
21,Mason Plumlee,CHA,56,2.3,21.3,1.38,3.1,1.2,1.6,75.3,75.3,28.3,6.3,27.6,4.7,73.2,64.9
22,Myles Turner,IND,62,1.9,12.4,1.46,2.8,1.1,1.5,73.7,73.7,21.0,5.0,20.2,5.9,73.1,82.2
