,PLAYER,TEAM,GP,Poss,Freq%,PPP,PTS,FGM,FGA,FG%,eFG%,FT Freq%,TOV Freq%,SF Freq%,And One Freq%,Score Freq%,Percentile
0,Kevin Huerter,SAC,74,3.2,23.8,1.14,3.7,1.3,2.8,46.6,62.0,4.6,8.4,3.8,0.4,43.7,81.3
1,Jordan Poole,GSW,80,2.2,10.5,1.06,2.3,0.8,1.7,44.6,55.0,10.8,11.9,8.5,1.7,44.3,69.1
2,Jalen Green,HOU,74,2.3,10.0,1.09,2.5,0.9,2.0,47.3,57.2,7.1,9.4,7.1,2.4,45.3,74.5
3,Jamal Murray,DEN,64,2.5,12.6,1.11,2.7,1.0,2.2,46.4,55.7,8.2,5.1,4.4,1.9,47.5,77.2
4,Tyler Herro,MIA,66,2.6,12.7,0.99,2.5,1.0,2.2,44.8,53.1,6.5,11.2,5.9,2.4,42.0,57.7
5,Stephen Curry,GSW,54,2.6,10.3,1.18,3.1,1.0,2.2,45.4,61.3,8.5,10.6,7.8,3.5,43.3,86.4
6,CJ McCollum,NOP,73,2.1,9.6,1.02,2.1,0.8,1.6,45.8,54.2,10.5,14.5,9.2,3.9,42.8,63.2
7,Keegan Murray,SAC,78,1.7,15.1,1.12,1.9,0.7,1.5,45.2,61.3,2.3,9.3,2.3,0.8,41.9,79.4
8,Keldon Johnson,SAS,63,2.3,10.6,0.96,2.2,0.7,1.8,40.4,45.6,16.4,8.9,16.4,3.4,44.5,55.5
9,Damian Lillard,POR,58,2.1,7.4,1.15,2.4,0.7,1.6,41.8,53.8,15.7,9.9,11.6,0.8,46.3,82.4
10,Desmond Bane,MEM,57,2.3,11.7,1.04,2.4,0.9,1.9,47.3,54.5,8.3,10.6,7.6,2.3,45.5,65.1
11,De'Aaron Fox,SAC,72,1.6,6.9,1.09,1.8,0.7,1.4,48.5,55.3,6.9,4.3,6.0,0.0,50.0,75.4
12,Klay Thompson,GSW,67,2.1,10.0,0.88,1.8,0.7,1.9,37.6,47.6,2.2,9.4,2.2,1.4,34.5,41.9
13,Buddy Hield,IND,78,1.4,9.5,1.05,1.5,0.6,1.2,46.8,58.0,4.4,13.3,4.4,0.9,42.5,67.3
14,Donovan Mitchell,CLE,68,1.7,6.6,1.03,1.7,0.6,1.4,41.2,50.0,8.8,7.0,7.0,1.8,42.1,64.7
15,Bradley Beal,WAS,50,2.0,8.8,1.15,2.3,0.9,1.6,58.0,62.3,11.2,7.1,12.2,2.0,55.1,83.1
16,Franz Wagner,ORL,78,1.7,9.3,0.85,1.4,0.5,1.4,34.9,39.0,10.8,7.7,9.2,2.3,37.7,34.1
