,PLAYER,TEAM,GP,Poss,Freq%,PPP,PTS,FGM,FGA,FG%,eFG%,FT Freq%,TOV Freq%,SF Freq%,And One Freq%,Score Freq%,Percentile
0,Luka Doncic,DAL,65,7.2,23.8,1.1,7.9,2.5,5.5,45.0,52.9,19.9,6.0,16.7,3.0,50.3,84.6
1,Shai Gilgeous-Alexander,OKC,67,6.5,23.4,1.07,7.0,2.3,4.9,46.0,47.9,21.3,6.4,19.2,2.7,53.1,80.5
2,Joel Embiid,PHI,65,6.6,22.8,1.07,7.0,2.4,4.9,50.0,50.6,19.0,9.4,18.1,3.3,53.1,80.1
3,James Harden,PHI,57,6.2,30.4,1.11,6.9,2.0,4.8,41.0,49.6,20.6,6.8,20.1,4.8,46.9,85.0
4,Julius Randle,NYK,77,4.9,20.5,0.97,4.8,1.6,3.6,45.0,49.3,18.4,12.9,16.5,4.5,45.9,65.0
5,Damian Lillard,POR,58,4.9,17.5,1.17,5.7,1.8,3.6,49.0,55.0,21.4,9.1,19.6,4.6,53.0,91.1
6,Anthony Edwards,MIN,77,4.4,17.9,0.95,4.2,1.6,3.9,42.0,49.0,6.8,7.1,6.8,1.5,41.6,60.2
7,Jayson Tatum,BOS,73,4.7,17.3,0.93,4.4,1.3,3.7,35.0,42.4,15.0,8.7,14.2,1.2,41.0,55.7
8,DeMar DeRozan,CHI,73,3.6,15.9,1.16,4.2,1.3,2.7,49.0,50.0,27.0,6.1,26.2,6.8,56.3,88.6
9,Pascal Siakam,TOR,70,3.7,15.5,0.99,3.7,1.4,2.9,48.0,48.5,15.8,8.1,13.5,1.9,50.8,67.1
10,Kyrie Irving,BKN,40,4.8,19.8,1.28,6.2,2.3,4.1,56.0,61.8,15.0,5.7,14.0,6.2,56.5,95.9
11,Zach LaVine,CHI,76,2.9,12.6,1.09,3.1,1.1,2.3,48.0,54.8,13.7,9.6,13.7,4.6,48.4,82.9
12,Dejounte Murray,ATL,73,3.5,16.4,0.9,3.1,1.2,2.9,42.0,45.0,8.7,9.5,8.7,1.6,42.3,50.0
13,Trae Young,ATL,72,3.4,12.7,0.92,3.1,1.0,2.6,39.0,43.2,15.4,10.6,12.2,3.3,42.3,53.7
14,Spencer Dinwiddie,DAL,53,4.3,25.9,0.99,4.2,1.3,3.2,40.0,45.6,18.1,7.1,17.7,1.8,46.5,66.7
15,Jalen Brunson,NYK,68,2.9,13.2,1.1,3.2,1.2,2.5,50.0,54.5,12.2,6.6,10.7,4.1,50.3,84.1
16,Kevin Durant,BKN,39,5.4,21.6,1.02,5.6,2.0,4.2,48.0,50.6,13.2,12.3,12.3,2.4,48.1,73.2
17,Giannis Antetokounmpo,MIL,63,4.1,14.0,0.83,3.4,1.2,3.0,41.0,40.8,18.8,11.5,18.1,4.2,43.5,34.6
18,Jimmy Butler,MIA,63,3.1,16.3,1.05,3.3,1.0,2.3,44.0,47.3,21.4,6.6,20.9,3.1,50.5,75.6
19,De'Aaron Fox,SAC,72,2.5,10.8,1.09,2.8,1.1,2.1,52.0,54.7,15.3,7.7,14.8,3.8,52.5,83.3
20,Paolo Banchero,ORL,72,3.2,15.0,0.85,2.8,0.9,2.3,38.0,40.7,21.5,11.2,20.6,4.7,42.5,39.0
21,Kawhi Leonard,LAC,50,3.7,18.1,1.02,3.8,1.5,3.2,47.0,50.9,10.8,4.8,9.1,1.6,48.4,72.8
22,Donovan Mitchell,CLE,68,2.4,9.6,1.11,2.7,0.9,2.1,45.0,53.9,13.3,7.2,12.0,4.8,46.4,85.4
23,Jalen Green,HOU,74,2.6,11.5,0.93,2.5,0.8,2.1,39.0,45.3,15.8,7.1,14.8,4.6,42.9,56.3
24,Bam Adebayo,MIA,73,2.4,11.9,1.02,2.4,0.9,1.9,49.0,48.9,18.3,6.9,18.3,4.6,50.9,71.5
25,Kevin Porter Jr.,HOU,58,3.0,15.3,1.0,3.0,1.0,2.5,38.0,46.3,14.2,5.1,11.9,2.8,43.2,69.5
26,LeBron James,LAL,53,4.0,14.6,0.81,3.3,1.3,3.5,36.0,38.6,9.3,5.6,8.9,2.8,37.9,31.3
27,Paul George,LAC,56,3.4,14.5,0.91,3.1,1.1,2.7,42.0,46.1,10.6,10.1,8.5,1.6,43.1,51.6
28,Devin Booker,PHX,52,3.4,13.4,0.9,3.1,1.1,2.7,40.0,42.2,14.0,9.0,13.5,2.2,43.8,48.0
29,Russell Westbrook,LAL,52,3.9,19.9,0.77,3.0,1.2,3.2,37.0,39.2,13.3,8.9,12.3,3.9,37.4,27.2
30,Jaylen Brown,BOS,67,2.6,9.9,0.91,2.3,0.9,2.1,43.0,46.9,9.9,9.4,9.9,2.9,42.1,52.0
31,Anfernee Simons,POR,62,2.8,14.0,0.89,2.5,0.9,2.3,39.0,41.8,13.2,10.3,11.5,4.6,40.2,45.5
32,Bradley Beal,WAS,50,3.3,14.8,0.89,2.9,1.2,2.6,44.0,47.0,9.1,13.3,7.9,2.4,41.2,45.1
33,Ja Morant,MEM,60,2.8,10.5,0.83,2.4,0.8,2.2,35.0,36.6,21.8,7.6,20.6,6.5,40.6,36.6
34,Zion Williamson,NOP,29,4.2,18.1,1.16,4.9,1.7,2.8,60.0,60.5,23.0,16.4,19.7,5.7,57.4,88.2
35,Jordan Clarkson,UTA,61,2.1,9.9,1.05,2.2,0.8,1.5,52.0,56.5,14.7,17.1,13.2,3.9,48.1,76.0
36,Spencer Dinwiddie,BKN,25,4.2,23.3,1.18,5.0,1.9,3.6,52.0,56.7,15.2,4.8,15.2,5.7,53.3,92.3
37,Jamal Murray,DEN,64,1.9,9.6,0.98,1.9,0.7,1.7,42.0,49.1,6.6,5.0,6.6,0.0,43.8,65.9
38,Darius Garland,CLE,69,2.3,11.0,0.73,1.7,0.6,1.9,32.0,35.5,11.2,10.6,8.7,3.1,33.5,19.1
39,Brandon Ingram,NOP,43,2.9,11.9,0.94,2.7,1.0,2.4,43.0,42.7,16.1,6.5,14.5,5.6,45.2,57.3
40,Scottie Barnes,TOR,75,1.8,10.9,0.82,1.5,0.6,1.5,42.0,42.9,7.3,11.7,6.6,1.5,40.1,33.7
41,Kyrie Irving,DAL,20,4.8,20.9,1.15,5.5,1.9,4.1,46.0,51.8,15.6,3.1,14.6,4.2,51.0,87.4
42,Caris LeVert,CLE,75,1.5,11.9,0.99,1.5,0.5,1.1,42.0,48.8,18.0,9.9,18.0,4.5,44.1,66.3
43,Immanuel Quickley,NYK,79,1.3,9.5,1.01,1.3,0.5,1.1,40.0,46.1,15.5,3.9,15.5,6.8,43.7,70.7
44,Collin Sexton,UTA,48,1.6,12.2,1.29,2.1,0.8,1.2,66.0,69.8,19.2,12.8,16.7,6.4,61.5,97.2
45,Bennedict Mathurin,IND,76,1.5,9.1,0.89,1.3,0.4,1.1,35.0,42.8,16.8,11.5,15.0,2.7,39.8,47.2
