,PLAYER,TEAM,GP,Poss,Freq%,PPP,PTS,FGM,FGA,FG%,eFG%,FT Freq%,TOV Freq%,SF Freq%,And One Freq%,Score Freq%,Percentile
0,Nikola Jokic,DEN,68,5.3,25.2,1.22,6.5,2.4,3.7,65.5,65.5,21.4,15.6,18.9,6.9,60.0,93.7
1,Joel Embiid,PHI,65,4.6,15.9,1.13,5.2,1.6,3.0,53.4,53.4,27.5,12.4,23.5,5.0,56.0,83.0
2,Jonas Valanciunas,NOP,76,3.8,27.8,0.99,3.8,1.4,2.6,54.9,54.9,18.2,19.6,16.5,4.8,50.0,54.1
3,Nikola Vucevic,CHI,79,3.5,21.0,1.04,3.6,1.6,2.9,54.4,54.4,9.8,9.8,6.9,1.8,52.0,65.4
4,Luka Doncic,DAL,64,3.6,11.9,1.14,4.1,1.4,2.6,55.1,55.1,26.4,6.1,26.0,5.6,60.0,85.5
5,Kristaps Porzingis,WAS,65,3.4,16.6,1.18,4.0,1.4,2.5,58.0,58.0,23.2,9.5,20.9,6.4,60.0,88.1
6,Deandre Ayton,PHX,66,3.8,23.2,0.96,3.7,1.6,3.2,51.2,51.2,6.7,10.3,6.0,0.8,49.0,50.3
7,Alperen Sengun,HOU,73,3.0,19.9,1.02,3.0,1.3,2.2,57.5,57.5,13.9,14.4,10.6,2.3,53.0,62.9
8,Anthony Davis,LAL,53,3.9,16.8,1.06,4.1,1.5,3.0,49.1,49.1,20.8,6.3,18.8,5.3,53.0,69.0
9,Giannis Antetokounmpo,MIL,63,3.4,11.4,0.97,3.3,1.3,2.3,54.5,54.5,18.8,16.4,15.5,3.8,50.0,52.2
10,Domantas Sabonis,SAC,77,2.6,14.9,0.95,2.5,1.0,1.9,54.2,54.2,11.6,17.6,9.5,1.5,49.0,48.4
11,DeMar DeRozan,CHI,72,1.9,8.4,1.33,2.5,0.9,1.5,60.6,60.6,28.3,5.1,28.3,12.3,64.0,97.5
12,Jusuf Nurkic,POR,52,3.8,27.9,0.89,3.3,1.3,2.7,48.9,48.9,16.4,15.9,16.4,4.6,47.0,35.2
13,Bobby Portis,MIL,68,2.5,19.1,0.99,2.5,1.1,2.2,52.4,52.4,8.1,8.7,6.4,1.7,50.0,56.6
14,Jaren Jackson Jr.,MEM,61,2.7,16.3,1.04,2.8,1.1,2.0,56.5,56.5,11.7,14.1,11.7,1.8,53.0,66.0
15,Pascal Siakam,TOR,69,2.4,10.2,0.99,2.4,0.9,1.8,48.8,48.8,17.9,8.3,16.7,1.8,52.0,55.3
16,Bam Adebayo,MIA,73,2.4,11.9,0.94,2.3,0.9,1.8,51.5,51.5,10.3,14.9,10.3,0.6,49.0,46.5
17,Zach Collins,SAS,62,2.5,21.3,1.06,2.6,1.0,1.8,53.1,53.1,18.8,11.7,14.9,3.9,54.0,71.1
18,Myles Turner,IND,62,2.2,14.1,1.11,2.4,0.9,1.6,55.9,55.9,19.3,9.6,16.3,4.4,57.0,79.1
19,Julius Randle,NYK,77,2.2,8.9,0.9,1.9,0.7,1.4,48.6,48.6,19.9,18.7,16.9,4.2,47.0,37.7
20,Brook Lopez,MIL,77,1.8,13.1,1.06,1.9,0.8,1.4,55.2,55.2,15.9,13.0,14.5,5.8,52.0,69.0
21,Aaron Gordon,DEN,67,2.2,14.8,0.99,2.1,0.8,1.5,51.0,51.0,26.0,10.3,21.9,6.2,52.0,54.7
22,John Collins,ATL,69,2.1,17.3,0.97,2.0,0.9,1.7,50.8,50.8,9.0,9.7,9.0,2.1,49.0,53.5
23,LeBron James,LAL,52,2.7,9.6,0.94,2.5,1.0,2.1,50.0,50.0,13.0,14.5,13.0,5.8,46.0,44.7
24,Jayson Tatum,BOS,73,1.4,5.2,1.22,1.7,0.5,1.0,55.6,55.6,28.8,5.8,28.8,4.8,62.0,93.1
25,Scottie Barnes,TOR,74,1.9,11.7,0.88,1.7,0.7,1.6,43.1,43.1,13.9,6.9,11.8,1.4,47.0,32.1
26,Ivica Zubac,LAC,73,1.5,15.7,1.11,1.7,0.7,1.1,60.0,60.0,17.1,12.6,14.4,1.8,58.0,77.4
27,Tobias Harris,PHI,73,1.5,11.2,1.09,1.6,0.7,1.3,55.8,55.8,9.2,7.3,7.3,3.7,54.0,76.1
28,Jimmy Butler,MIA,63,2.0,10.5,0.94,1.9,0.7,1.5,46.4,46.4,19.0,11.1,18.3,7.1,48.0,47.2
29,Christian Wood,DAL,66,1.7,11.3,1.04,1.8,0.7,1.1,60.0,60.0,17.0,17.9,14.3,1.8,55.0,64.8
30,Zion Williamson,NOP,29,3.8,16.4,0.99,3.8,1.4,2.6,53.3,53.3,23.4,16.2,19.8,7.2,51.0,56.0
31,Evan Mobley,CLE,78,1.8,11.4,0.78,1.4,0.5,1.3,38.6,38.6,16.5,11.5,14.4,0.7,41.0,17.0
32,Paolo Banchero,ORL,72,1.5,7.1,0.96,1.5,0.6,1.1,51.3,51.3,16.4,12.7,15.5,1.8,50.0,51.6
33,Jerami Grant,POR,63,1.7,9.2,0.95,1.6,0.6,1.2,50.0,50.0,16.7,14.8,14.8,3.7,48.0,49.7
34,Shai Gilgeous-Alexander,OKC,67,1.3,4.8,1.14,1.5,0.5,0.9,53.2,53.2,24.7,10.1,22.5,4.5,57.0,84.9
35,Kawhi Leonard,LAC,49,1.8,9.0,1.03,1.9,0.7,1.4,49.3,49.3,15.6,6.7,14.4,1.1,53.0,64.2
36,Jock Landale,PHX,66,1.2,19.0,1.18,1.4,0.5,0.9,63.2,63.2,21.8,11.5,16.7,6.4,59.0,88.7
37,Kevin Durant,BKN,39,2.1,8.2,1.15,2.4,0.9,1.4,63.0,63.0,17.5,18.8,15.0,3.8,56.0,86.2
38,Rudy Gobert,MIN,68,1.2,9.9,1.05,1.2,0.4,0.5,64.9,64.9,40.0,18.8,30.0,5.0,60.0,67.3
39,Marcus Morris Sr.,LAC,65,1.2,11.0,0.86,1.1,0.4,1.0,43.9,43.9,12.3,12.3,11.1,6.2,41.0,28.9
40,Lauri Markkanen,UTA,66,1.3,5.9,0.82,1.1,0.4,0.9,42.4,42.4,16.5,15.3,12.9,2.4,42.0,24.8
41,Paul George,LAC,56,1.1,4.8,1.08,1.2,0.5,1.0,55.6,55.6,7.9,7.9,6.3,1.6,54.0,73.0
42,Mason Plumlee,CHA,56,1.1,10.1,1.08,1.2,0.4,0.7,59.0,59.0,30.0,10.0,25.0,5.0,58.0,73.6
43,P.J. Washington,CHA,73,0.9,5.9,0.94,0.9,0.4,0.8,48.3,48.3,14.5,8.7,13.0,7.2,46.0,45.9
44,Jabari Smith Jr.,HOU,77,0.9,6.6,0.93,0.8,0.3,0.7,50.0,50.0,11.4,15.7,10.0,1.4,47.0,42.8
45,Devin Booker,PHX,52,1.0,3.8,1.22,1.2,0.5,0.8,61.0,61.0,13.7,9.8,7.8,3.9,59.0,91.8
46,Harrison Barnes,SAC,79,0.6,5.0,1.22,0.8,0.2,0.4,57.6,57.6,35.3,5.9,23.5,5.9,65.0,91.8
47,Jakob Poeltl,SAS,46,1.5,13.0,0.89,1.3,0.6,1.2,51.9,51.9,8.6,17.1,8.6,2.9,43.0,33.5
48,Jrue Holiday,MIL,66,0.9,4.7,1.02,0.9,0.4,0.7,50.0,50.0,11.9,10.2,11.9,3.4,49.0,62.3
49,Brandon Ingram,NOP,42,1.4,5.9,1.0,1.4,0.6,1.2,48.0,48.0,13.3,6.7,13.3,3.3,48.0,59.9
50,Jalen Brunson,NYK,68,0.9,4.1,0.97,0.9,0.4,0.8,48.1,48.1,8.1,6.5,8.1,1.6,48.0,52.8
51,Marvin Bagley III,DET,40,1.9,17.3,0.77,1.5,0.7,1.6,41.3,41.3,6.5,11.7,5.2,0.0,39.0,15.7
52,Karl-Anthony Towns,MIN,27,2.3,11.6,0.93,2.1,0.7,1.5,47.5,47.5,18.0,16.4,13.1,0.0,49.0,44.0
53,Montrezl Harrell,PHI,54,0.9,19.4,1.12,1.0,0.4,0.8,58.5,58.5,14.0,8.0,12.0,4.0,56.0,81.1
54,Russell Westbrook,LAL,52,0.9,4.5,1.11,1.0,0.4,0.8,52.5,52.5,13.0,4.3,13.0,4.3,54.0,78.0
55,Jamal Murray,DEN,64,0.9,4.4,0.93,0.8,0.3,0.7,45.7,45.7,10.9,5.5,9.1,0.0,49.0,42.1
56,RJ Barrett,NYK,71,0.9,4.6,0.76,0.7,0.3,0.7,37.7,37.7,13.4,9.0,13.4,1.5,40.0,15.1
57,Onyeka Okongwu,ATL,77,0.5,6.3,1.23,0.6,0.2,0.4,55.2,55.2,25.0,7.5,12.5,5.0,60.0,94.3
58,Jalen Duren,DET,64,0.8,9.7,0.96,0.8,0.3,0.6,48.6,48.6,25.5,7.8,21.6,5.9,53.0,50.9
59,James Wiseman,DET,21,3.2,24.0,0.73,2.3,1.0,2.4,43.1,43.1,7.5,16.4,7.5,0.0,39.0,11.3
60,Wendell Carter Jr.,ORL,56,1.0,6.7,0.89,0.9,0.3,0.6,51.4,51.4,18.5,18.5,9.3,1.9,46.0,34.6
61,O.G. Anunoby,TOR,65,1.0,6.1,0.74,0.7,0.3,0.7,40.4,40.4,9.2,20.0,9.2,1.5,37.0,13.2
62,Bojan Bogdanovic,DET,59,0.9,4.9,0.84,0.8,0.3,0.6,39.5,39.5,16.1,17.9,12.5,1.8,41.0,27.0
63,Keldon Johnson,SAS,62,0.9,3.9,0.87,0.7,0.3,0.7,41.9,41.9,13.2,9.4,13.2,3.8,43.0,30.2
64,Khris Middleton,MIL,32,1.3,8.0,1.07,1.4,0.5,1.0,51.5,51.5,12.2,7.3,12.2,0.0,54.0,72.3
65,Andrew Wiggins,GSW,37,1.2,7.1,1.02,1.2,0.5,1.1,51.3,51.3,9.3,2.3,9.3,2.3,53.0,63.5
66,Kyle Kuzma,WAS,64,0.9,4.2,0.73,0.7,0.3,0.7,42.2,42.2,8.3,20.0,8.3,3.3,37.0,11.9
