,PLAYER,TEAM,GP,Poss,Freq%,PPP,PTS,FGM,FGA,FG%,eFG%,FT Freq%,TOV Freq%,SF Freq%,And One Freq%,Score Freq%,Percentile
0,Trae Young,ATL,70,12.7,47.1,0.94,11.8,4.0,9.2,43.3,48.5,13.5,15.7,9.4,2.1,42.8,64.6
1,Damian Lillard,POR,58,11.1,39.6,1.13,12.5,3.8,7.9,47.6,56.7,18.5,12.7,15.1,3.3,49.2,95.5
2,DeMar DeRozan,CHI,70,9.6,42.2,1.07,10.3,4.1,7.6,53.7,54.3,14.2,10.3,13.9,4.2,52.5,90.6
3,Ja Morant,MEM,58,13.1,48.0,0.93,12.1,4.4,9.9,44.2,46.9,15.9,11.1,14.9,3.7,45.6,63.6
4,Luka Doncic,DAL,63,10.4,34.2,1.07,11.1,4.1,7.8,52.4,59.3,14.5,14.4,13.1,3.8,48.9,90.9
5,Donovan Mitchell,CLE,66,9.4,37.2,1.13,10.5,3.8,7.5,50.1,59.1,10.5,11.0,8.7,1.9,48.7,94.5
6,Jalen Brunson,NYK,67,9.6,43.6,1.01,9.6,3.6,7.7,47.1,50.7,13.0,9.1,11.9,2.8,48.0,82.5
7,Jalen Green,HOU,72,9.9,43.1,0.86,8.5,2.8,7.3,38.7,43.8,14.9,13.8,13.9,2.5,40.1,45.8
8,De'Aaron Fox,SAC,69,8.3,35.9,1.01,8.4,3.2,6.4,50.5,53.2,13.7,12.2,12.2,2.6,49.2,83.1
9,Darius Garland,CLE,67,8.9,41.9,0.95,8.4,3.1,6.8,46.1,51.3,10.4,14.1,8.1,1.5,44.0,66.9
10,Zach LaVine,CHI,73,8.1,35.2,0.94,7.6,2.8,6.5,42.8,48.7,10.7,11.7,9.6,2.2,42.5,65.9
11,Shai Gilgeous-Alexander,OKC,65,8.0,28.8,1.01,8.2,2.9,5.8,49.7,50.8,17.2,14.0,15.7,3.1,49.7,84.1
12,Dejounte Murray,ATL,70,7.9,37.2,0.96,7.5,3.3,7.0,47.6,50.1,4.7,8.5,4.7,1.6,45.2,68.8
13,Tyrese Haliburton,IND,56,8.8,46.9,1.04,9.2,3.3,7.0,47.5,56.1,11.1,13.1,10.1,3.8,44.8,88.3
14,Fred VanVleet,TOR,65,8.1,40.6,0.95,7.7,2.7,6.5,41.8,48.9,10.1,12.1,8.7,2.1,41.2,67.9
15,Anthony Edwards,MIN,75,6.9,28.3,0.91,6.3,2.3,5.4,42.9,48.1,11.3,14.2,10.2,2.9,41.5,55.5
16,Stephen Curry,GSW,52,7.8,30.9,1.16,9.1,3.2,6.3,51.4,62.9,9.1,13.8,8.4,2.7,47.4,97.4
17,CJ McCollum,NOP,71,7.2,33.1,0.91,6.5,2.5,5.8,43.3,48.1,9.4,11.8,8.5,2.2,42.1,58.8
18,Jrue Holiday,MIL,64,7.2,37.6,1.0,7.2,2.8,5.7,48.4,56.0,7.3,14.5,5.8,0.9,44.3,76.9
19,Tyler Herro,MIA,64,7.3,35.9,0.94,6.8,2.6,5.9,44.0,51.1,6.5,14.2,6.2,1.3,40.6,65.6
20,Anfernee Simons,POR,62,6.9,34.1,1.01,6.9,2.6,5.7,45.1,53.7,6.8,9.9,5.4,0.7,43.5,82.8
21,Jordan Poole,GSW,78,5.9,28.2,0.91,5.4,1.8,4.5,40.6,47.4,11.7,15.2,10.4,2.8,39.5,56.2
22,Chris Paul,PHX,56,8.2,57.0,0.9,7.4,2.9,6.5,44.8,48.5,8.3,13.3,4.1,0.7,42.8,54.9
23,Kevin Porter Jr.,HOU,56,8.6,43.0,0.82,7.1,2.6,6.3,40.8,45.8,10.0,18.5,9.4,2.7,37.3,37.5
24,Terry Rozier,CHA,64,7.3,33.1,0.84,6.2,2.4,6.1,38.7,44.2,7.1,10.5,6.4,1.1,38.1,41.9
