,PLAYER,TEAM,GP,Poss,Freq%,PPP,PTS,FGM,FGA,FG%,eFG%,FT Freq%,TOV Freq%,SF Freq%,And One Freq%,Score Freq%,Percentile
0,Joel Embiid,PHI,61,6.8,23.4,1.22,8.2,2.9,5.0,57.4,60.5,20.9,9.7,20.4,4.6,58.5,66.5
1,Deandre Ayton,PHX,62,4.9,29.3,1.21,5.9,2.4,4.0,62.5,62.7,9.9,5.6,10.3,3.3,60.6,66.1
2,Nikola Vucevic,CHI,75,4.6,27.8,1.04,4.8,1.9,4.0,50.2,54.0,3.7,6.6,3.7,1.2,48.1,35.4
3,Bam Adebayo,MIA,70,4.3,21.0,1.13,4.8,2.4,4.0,55.4,55.4,12.8,5.4,12.8,2.0,56.7,50.2
4,Anthony Davis,LAL,49,4.6,20.1,1.28,5.9,2.6,4.0,62.8,64.1,14.2,4.9,14.2,2.7,63.1,77.0
5,Evan Mobley,CLE,74,3.5,22.0,1.1,3.8,1.9,3.0,58.5,60.0,17.5,10.9,16.7,4.3,55.6,44.7
6,Brook Lopez,MIL,73,2.9,21.1,1.31,3.8,1.8,3.0,56.7,64.9,9.9,3.3,9.9,4.7,57.1,80.5
7,Myles Turner,IND,62,3.5,22.8,1.24,4.4,1.7,3.0,55.3,60.9,16.1,5.5,15.6,3.7,57.8,69.3
8,Christian Wood,DAL,63,2.7,17.8,1.48,4.0,1.2,2.0,64.3,74.1,16.4,4.7,15.8,4.7,65.5,94.6
9,Domantas Sabonis,SAC,73,2.6,14.9,1.32,3.4,1.3,2.0,67.5,68.8,17.5,6.9,16.9,5.8,65.1,82.5
10,Alperen Sengun,HOU,69,3.1,21.2,1.13,3.5,1.9,3.0,56.6,58.1,16.3,8.4,14.9,5.1,55.3,48.2
11,Clint Capela,ATL,59,2.8,28.1,1.37,3.9,1.3,2.0,71.2,71.2,12.6,4.8,12.6,4.8,70.1,89.1
