,PLAYER,TEAM,GP,Poss,Freq%,PPP,PTS,FGM,FGA,FG%,eFG%,FT Freq%,TOV Freq%,SF Freq%,And One Freq%,Score Freq%,Percentile
0,Jonas Valanciunas,NOP,71,2.4,17.7,1.22,3.0,1.3,2.1,61.6,61.6,10.5,6.4,10.5,1.7,61.0,70.2
1,Walker Kessler,UTA,70,2.1,29.5,1.25,2.6,1.2,1.8,65.3,65.3,18.9,4.7,17.6,7.4,64.9,74.4
2,Rudy Gobert,MIN,62,2.5,20.8,1.14,2.8,1.1,1.9,57.5,57.5,18.3,7.2,17.6,3.9,57.5,55.8
3,Clint Capela,ATL,58,2.9,28.6,1.03,2.9,1.3,2.5,51.7,51.7,9.6,3.6,9.6,1.8,51.8,36.1
4,Onyeka Okongwu,ATL,72,1.7,21.1,1.36,2.3,1.0,1.4,70.4,70.4,18.5,4.8,17.7,2.4,69.4,86.2
5,Anthony Davis,LAL,48,2.8,12.2,1.25,3.5,1.4,2.2,61.3,61.3,20.0,6.7,19.3,5.2,62.2,74.9
6,Nikola Jokic,DEN,66,1.8,8.8,1.36,2.5,1.0,1.6,64.8,64.8,18.0,3.3,18.0,7.4,66.4,85.9
7,Ivica Zubac,LAC,69,2.2,22.8,1.03,2.3,0.9,1.8,53.7,53.7,14.5,8.6,13.2,2.6,53.3,37.6
8,Daniel Gafford,WAS,72,1.5,22.1,1.45,2.1,0.9,1.3,75.6,75.6,17.0,6.6,16.0,8.5,71.7,93.4
9,Jarrett Allen,CLE,64,2.0,16.5,1.2,2.4,1.0,1.6,64.0,64.0,18.0,5.5,17.2,1.6,64.1,67.6
10,Domantas Sabonis,SAC,72,1.9,10.8,1.14,2.1,0.8,1.6,53.6,53.6,17.0,4.4,17.0,4.4,56.3,56.4
11,Giannis Antetokounmpo,MIL,59,1.6,5.5,1.57,2.6,1.0,1.2,85.7,85.7,25.0,7.3,24.0,5.2,80.2,99.1
12,Kevon Looney,GSW,75,1.6,25.7,1.29,2.0,0.9,1.3,67.3,67.3,9.4,5.1,9.4,0.9,66.7,79.6
13,Nick Richards,CHA,60,2.0,30.0,1.21,2.5,1.0,1.7,58.4,58.4,21.3,4.9,19.7,9.0,60.7,69.0
14,Chris Boucher,TOR,68,1.9,21.8,1.17,2.2,0.9,1.6,55.9,55.9,13.4,2.4,13.4,3.1,59.1,59.2
15,Mitchell Robinson,NYK,53,2.7,43.9,1.03,2.8,1.2,2.1,56.3,56.3,14.0,9.1,14.0,1.4,53.1,35.7
16,Jalen Duren,DET,59,2.1,26.2,1.14,2.4,1.0,1.7,61.0,61.0,13.7,9.7,13.7,4.0,58.9,55.5
17,Deandre Ayton,PHX,61,1.9,11.3,1.21,2.3,1.0,1.5,62.4,62.9,15.7,7.0,15.7,4.3,60.0,68.7
18,Julius Randle,NYK,75,1.2,5.0,1.45,1.8,0.8,1.0,76.3,76.3,18.7,8.8,17.6,11.0,70.3,93.1
19,Mason Plumlee,CHA,56,1.9,17.6,1.24,2.3,1.0,1.6,61.8,61.8,15.2,6.7,15.2,6.7,61.0,72.4
20,Tari Eason,HOU,74,1.5,15.2,1.18,1.8,0.8,1.3,59.8,59.8,10.0,5.5,10.0,3.6,59.1,63.0
21,Isaiah Hartenstein,NYK,75,1.6,30.3,1.03,1.6,0.7,1.4,52.9,52.9,6.8,5.1,6.8,0.9,53.0,37.9
22,Steven Adams,MEM,42,3.0,31.9,0.94,2.9,1.4,2.6,51.4,51.4,9.4,7.0,9.4,3.1,49.2,26.0
23,Nic Claxton,BKN,69,1.2,11.6,1.43,1.7,0.8,1.0,76.1,76.1,9.6,7.2,9.6,2.4,71.1,92.2
24,Jakob Poeltl,SAS,46,2.0,17.4,1.27,2.6,1.1,1.7,67.5,67.5,16.0,5.3,16.0,4.3,64.9,76.8
25,Bam Adebayo,MIA,70,1.5,7.5,1.11,1.7,0.7,1.3,56.5,56.5,10.3,4.7,11.2,1.9,57.0,51.4
26,Wendell Carter Jr.,ORL,51,1.6,11.3,1.41,2.3,0.9,1.3,68.8,68.8,27.4,4.8,26.2,8.3,71.4,90.6
27,Lauri Markkanen,UTA,64,1.4,6.7,1.27,1.8,0.8,1.2,62.0,62.7,14.1,6.5,13.0,6.5,60.9,77.4
28,Alperen Sengun,HOU,67,1.8,12.2,0.97,1.7,0.8,1.5,51.5,51.5,8.3,10.0,5.8,4.2,48.3,29.8
29,Aaron Gordon,DEN,62,1.6,11.1,1.17,1.9,0.8,1.4,59.1,59.1,12.1,1.0,11.1,2.0,61.6,61.1
