,PLAYER,TEAM,GP,Poss,Freq%,PPP,PTS,FGM,FGA,FG%,eFG%,FT Freq%,TOV Freq%,SF Freq%,And One Freq%,Score Freq%,Percentile
0,Giannis Antetokounmpo,MIL,59,8.1,27.3,1.17,9.5,3.2,5.3,60.0,61.6,32.4,10.5,30.8,7.9,60.5,58.0
1,Shai Gilgeous-Alexander,OKC,64,6.0,21.7,1.25,7.6,2.4,4.3,56.0,59.5,24.6,8.0,22.0,3.9,60.6,75.7
2,Jaylen Brown,BOS,63,5.8,22.5,1.26,7.3,2.8,4.5,62.0,66.9,15.9,9.6,15.7,3.8,60.2,76.3
3,De'Aaron Fox,SAC,67,5.5,23.5,1.18,6.5,2.4,4.0,60.0,62.5,20.1,11.7,18.7,5.4,56.9,61.7
4,Anthony Edwards,MIN,73,5.2,21.3,1.05,5.5,2.0,3.7,53.0,59.0,17.8,18.1,17.3,6.0,48.7,32.0
5,LeBron James,LAL,48,7.0,25.2,1.19,8.4,3.1,5.0,62.0,65.0,21.1,13.4,19.9,5.6,59.1,63.9
6,Zach LaVine,CHI,71,4.5,19.7,1.22,5.5,1.9,3.3,58.0,63.0,20.1,10.8,20.1,3.7,57.6,69.3
7,Buddy Hield,IND,75,4.0,25.7,1.23,4.9,1.8,3.6,51.0,66.3,2.7,8.1,2.0,0.3,47.7,72.2
8,Jayson Tatum,BOS,69,4.2,15.1,1.27,5.3,1.8,3.1,59.0,64.2,20.4,10.4,20.1,4.2,59.2,77.4
9,Trae Young,ATL,68,5.1,19.0,1.0,5.1,1.6,3.5,45.0,51.0,18.9,14.3,14.3,2.3,47.0,23.0
10,Jordan Poole,GSW,76,4.1,19.6,1.11,4.6,1.6,3.0,53.0,59.3,15.7,14.1,13.1,2.6,51.6,43.3
11,Ja Morant,MEM,56,5.4,19.8,1.14,6.1,2.3,3.8,60.0,63.3,17.3,15.3,15.3,4.3,55.5,50.7
12,Bennedict Mathurin,IND,72,3.9,24.0,1.19,4.6,1.4,2.7,53.0,59.8,24.6,10.4,23.9,3.9,56.8,63.7
13,Donovan Mitchell,CLE,64,4.4,17.8,1.18,5.2,2.0,3.6,56.0,63.0,11.0,11.3,8.5,3.9,52.3,61.1
14,Desmond Bane,MEM,52,5.3,27.4,1.17,6.3,2.3,4.6,50.0,61.0,9.7,8.7,9.0,4.0,48.7,59.3
15,Trey Murphy III,NOP,72,3.1,27.4,1.41,4.3,1.6,2.7,61.0,71.8,9.9,6.3,9.5,3.2,59.5,90.2
16,Pascal Siakam,TOR,65,4.0,16.7,1.2,4.8,1.7,2.8,61.0,64.1,21.5,11.9,20.4,4.6,59.2,65.9
17,O.G. Anunoby,TOR,61,4.0,24.1,1.25,5.0,1.9,3.2,60.0,66.1,12.0,10.3,11.2,3.3,56.6,74.6
18,Terry Rozier,CHA,64,4.5,20.2,1.05,4.7,1.8,3.6,48.0,54.7,11.9,9.8,11.2,3.5,47.7,30.4
19,RJ Barrett,NYK,69,4.1,20.1,1.03,4.3,1.6,3.0,51.0,55.5,17.8,10.8,18.2,2.8,51.0,28.9
20,Paolo Banchero,ORL,68,4.0,18.8,1.07,4.3,1.4,2.6,53.0,55.3,26.2,13.8,24.7,6.5,54.2,35.7
21,Lauri Markkanen,UTA,65,3.6,16.4,1.26,4.5,1.6,2.7,59.0,65.3,16.5,10.4,15.2,3.5,57.1,77.0
22,Gary Trent Jr.,TOR,63,3.9,23.8,1.18,4.6,1.6,3.4,47.0,57.0,11.7,3.2,10.5,1.2,51.4,61.3
23,Julius Randle,NYK,76,3.6,14.6,1.07,3.8,1.4,2.7,52.0,57.5,14.8,13.3,14.8,5.2,48.9,36.3
24,Kyle Kuzma,WAS,64,4.2,18.7,1.08,4.5,1.8,3.2,56.0,61.9,9.7,15.7,9.7,2.2,49.3,37.8
25,Franz Wagner,ORL,74,2.9,16.0,1.35,3.9,1.3,2.2,60.0,69.9,17.1,7.6,16.1,3.3,59.7,86.7
26,Tyrese Maxey,PHI,56,3.6,19.4,1.43,5.1,1.9,3.0,62.0,70.2,18.1,5.0,16.6,7.5,63.3,92.4
27,Klay Thompson,GSW,64,3.6,17.4,1.2,4.3,1.6,3.2,50.0,63.3,3.5,7.0,3.0,0.4,47.8,66.3
28,Keldon Johnson,SAS,61,3.9,18.1,1.13,4.5,1.7,3.3,53.0,59.5,15.4,8.3,14.6,6.7,51.3,49.0
29,Michael Porter Jr.,DEN,58,3.3,22.3,1.37,4.5,1.5,2.8,56.0,71.6,13.0,7.8,12.5,4.2,55.2,87.8
